price_eur	year	km_age	mark
22861	2019	42898	Volkswagen
25850	2019	42800	Audi
31855	2018	42755	MINI
25870	2020	42703	Opel
22720	2021	42700	Volkswagen
51719	2021	42564	Volkswagen
25870	2020	42417	Volkswagen
22860	2020	42402	Volkswagen
31855	2020	42326	Fiat
25870	2016	42169	Dacia
22512	2020	42150	Dacia
22720	2021	42100	Dacia
22850	2019	41900	Dacia
22720	2021	41800	Volkswagen
22800	2019	41647	Ford
22850	2018	41500	Volkswagen
25870	2019	41063	Skoda
22850	2019	41000	Volkswagen
22840	2018	40926	Hyundai
25875	2019	40549	Volkswagen
31840	2020	40535	Skoda
22800	2019	39990	Volkswagen
22860	2017	39800	Volkswagen
25850	2017	39700	Skoda
27769	2019	39700	Volkswagen
22810	2020	39400	Volkswagen
21998	2019	39190	Volkswagen
22840	2017	39004	BMW
22859	2019	39000	Volkswagen
22859	2019	39000	MINI
25850	2020	38900	Opel
22850	2020	38890	Dacia
22850	2019	38674	Volkswagen
22820	2020	38631	Honda
22850	2019	38629	Dacia
31840	2020	38535	Audi
22849	2021	38441	BMW
22850	2021	38055	Toyota
24940	2019	38000	Kia
22860	2019	37950	Volkswagen
25850	2018	37690	Kia
22810	2021	37643	Audi
22640	2015	37540	Nissan
22830	2019	37295	Renault
22860	2018	36894	Audi
22840	2020	36850	Ford
25870	2020	36800	Seat
22800	1968	36360	Peugeot
25850	2019	36087	Audi
22840	2019	36062	Mazda
28120	2020	36000	Volkswagen
22830	2020	35984	Fiat
31860	2020	35950	Opel
25870	2019	35900	Mercedes-Benz
31855	2018	35835	Volkswagen
22815	2019	35800	Volkswagen
25850	2020	35579	Volkswagen
22860	2020	35460	Opel
22850	2019	35451	Nissan
22810	2021	35400	Audi
22810	2021	35400	Audi
28000	2017	34933	Skoda
22848	2018	34933	Volkswagen
22850	2019	34890	BMW
25870	2018	34643	Dacia
22840	2021	34550	Ford
22185	2021	34334	Mazda
22820	2017	34241	Toyota
22820	2017	34241	BMW
22800	2018	34100	Toyota
22860	2018	34069	Volkswagen
25873	2019	34036	Ford
25873	2019	34036	Volkswagen
22850	2018	34019	Ford
25850	2019	34000	Volvo
22860	2019	34000	BMW
27800	2020	34000	Dacia
25870	2019	33975	Volkswagen
22860	2021	33894	Nissan
